sample_id,first_failure_stage,failure_reason_code,oracle_variant,downstream_bypass_correct,interpretation
final_robot_005,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_010,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_011,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_robot_012,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_robot_016,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_017,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_018,materialization,VALUE_WRONG_EVIDENCE_SPAN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_019,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_020,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_021,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_025,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_robot_027,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_031,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_033,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_034,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_035,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_036,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_040,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_robot_041,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_042,verification,CONFLICT_WRONG_UPDATE_COLUMNS,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_046,materialization,VALUE_WRONG_EVIDENCE_SPAN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_048,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_049,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_050,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_055,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_robot_056,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_robot_057,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_vaccine_001,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_002,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_003,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_004,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_005,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_006,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_010,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_011,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_vaccine_012,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_vaccine_016,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_017,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_018,reference_resolution,REF_INVALID_SOURCE_REF,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_019,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_021,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_025,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_vaccine_026,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_vaccine_027,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_031,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_032,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_033,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_034,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_035,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_036,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_041,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_042,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_046,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_048,materialization,VALUE_NORMALIZATION_ERROR,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_056,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_vaccine_057,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_002,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_003,materialization,VALUE_WRONG_EVIDENCE_SPAN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_004,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_005,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_011,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_virtual_012,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,1,system-level bypass; not a single-component verifier intervention
final_virtual_015,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_019,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_021,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_026,materialization,VALUE_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_027,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_035,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_036,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_041,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_042,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_048,verification,TARGET_MISSING_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_049,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_050,reference_resolution,REF_UNKNOWN_COLUMN,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_055,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_056,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
final_virtual_057,verification,CONFLICT_MISSING,V0_no_verifier_no_provenance_no_semantic_gate_no_preflight,0,system-level bypass; not a single-component verifier intervention
