method_slug,subgroup_type,subgroup_value,n,target_state_accuracy,strict_full_state_accuracy,coverage,accepted_output_accuracy,false_accept_count
j_fs,database,financial,62,0.5806451612903226,0.5806451612903226,0.8225806451612904,0.7058823529411765,15
j_fs,database,formula_1,22,0.3181818181818182,0.3181818181818182,0.9545454545454546,0.3333333333333333,14
j_fs,database,student_club,55,0.7454545454545455,0.7454545454545455,0.9090909090909091,0.82,9
j_fs,database,superhero,36,0.8333333333333334,0.8333333333333334,0.9722222222222222,0.8571428571428571,5
j_fs,database,thrombosis_prediction,5,0.4,0.4,0.6,0.6666666666666666,1
j_fs,database,toxicology,12,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.125,7
j_fs,dependency_sensitive,0,259,0.6293436293436293,0.6293436293436293,0.8841698841698842,0.7117903930131004,66
j_fs,dependency_sensitive,1,41,0.14634146341463414,0.14634146341463414,0.5121951219512195,0.2857142857142857,15
original_mp_fs_plus,input_type,free_text,111,0.22522522522522523,0.22522522522522523,0.27927927927927926,0.8064516129032258,6
original_mp_fs_plus,input_type,semi_structured,189,0.3915343915343915,0.3915343915343915,0.43386243386243384,0.9024390243902439,8
original_mp_fs_plus,operation_type,insert_ignore,198,0.32323232323232326,0.32323232323232326,0.36363636363636365,0.8888888888888888,8
original_mp_fs_plus,operation_type,plain_insert,77,0.37662337662337664,0.37662337662337664,0.4155844155844156,0.90625,3
original_mp_fs_plus,operation_type,upsert_update,25,0.24,0.24,0.36,0.6666666666666666,3
original_mp_fs_plus,database,california_schools,17,0.17647058823529413,0.17647058823529413,0.17647058823529413,1.0,0
original_mp_fs_plus,database,card_games,12,0.25,0.25,0.5,0.5,3
original_mp_fs_plus,database,codebase_community,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0
original_mp_fs_plus,database,debit_card_specializing,36,0.2777777777777778,0.2777777777777778,0.3611111111111111,0.7692307692307693,3
original_mp_fs_plus,database,european_football_2,31,0.5806451612903226,0.5806451612903226,0.5806451612903226,1.0,0
original_mp_fs_plus,database,financial,62,0.2903225806451613,0.2903225806451613,0.3225806451612903,0.9,2
original_mp_fs_plus,database,formula_1,22,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0
original_mp_fs_plus,database,student_club,55,0.4727272727272727,0.4727272727272727,0.5454545454545454,0.8666666666666667,4
original_mp_fs_plus,database,superhero,36,0.3888888888888889,0.3888888888888889,0.4166666666666667,0.9333333333333333,1
original_mp_fs_plus,database,thrombosis_prediction,5,0.4,0.4,0.6,0.6666666666666666,1
original_mp_fs_plus,database,toxicology,12,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0
original_mp_fs_plus,dependency_sensitive,0,259,0.3590733590733591,0.3590733590733591,0.4092664092664093,0.8773584905660378,13
original_mp_fs_plus,dependency_sensitive,1,41,0.14634146341463414,0.14634146341463414,0.17073170731707318,0.8571428571428571,1
d_g1_primary,input_type,free_text,111,0.22522522522522523,0.22522522522522523,0.27927927927927926,0.8064516129032258,6
d_g1_primary,input_type,semi_structured,189,0.3915343915343915,0.3915343915343915,0.43386243386243384,0.9024390243902439,8
d_g1_primary,operation_type,insert_ignore,198,0.32323232323232326,0.32323232323232326,0.36363636363636365,0.8888888888888888,8
d_g1_primary,operation_type,plain_insert,77,0.37662337662337664,0.37662337662337664,0.4155844155844156,0.90625,3
d_g1_primary,operation_type,upsert_update,25,0.24,0.24,0.36,0.6666666666666666,3
d_g1_primary,database,california_schools,17,0.17647058823529413,0.17647058823529413,0.17647058823529413,1.0,0
d_g1_primary,database,card_games,12,0.25,0.25,0.5,0.5,3
d_g1_primary,database,codebase_community,12,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0
d_g1_primary,database,debit_card_specializing,36,0.2777777777777778,0.2777777777777778,0.3611111111111111,0.7692307692307693,3
d_g1_primary,database,european_football_2,31,0.5806451612903226,0.5806451612903226,0.5806451612903226,1.0,0
d_g1_primary,database,financial,62,0.2903225806451613,0.2903225806451613,0.3225806451612903,0.9,2
d_g1_primary,database,formula_1,22,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0
